id,company_id,room_id,device_id,status,created_at,updated_at
7c925463-4e15-47ee-898b-bd668d8e1741,05bd26a2-e08f-40e6-a350-6f33b1aa7468,1,6,true,2024-04-26 00:00:00,2025-06-05 22:12:32.42104
02b07d3e-ff83-4ade-81ff-bcded6f828f0,05bd26a2-e08f-40e6-a350-6f33b1aa7468,1,7,false,2024-04-30 00:00:00,2025-06-05 22:12:32.42104
bc93a4e0-561c-4288-9bfc-f197719baa49,05bd26a2-e08f-40e6-a350-6f33b1aa7468,1,7,true,2024-06-18 00:00:00,2025-06-05 22:12:32.42104
63f54259-658e-4375-b29e-e552052164e8,05bd26a2-e08f-40e6-a350-6f33b1aa7468,1,4,true,2024-02-05 00:00:00,2025-06-05 22:12:32.42104
4311e479-0332-4cc2-856b-ccc73c3f4255,05bd26a2-e08f-40e6-a350-6f33b1aa7468,1,2,false,2025-02-18 00:00:00,2025-06-05 22:12:32.42104
d1a1017a-9143-49c8-a367-7e8ecfcac2af,05bd26a2-e08f-40e6-a350-6f33b1aa7468,1,6,true,2024-04-06 00:00:00,2025-06-05 22:12:32.42104
d551ee6d-4353-4bc1-8a92-fa99f3d62498,05bd26a2-e08f-40e6-a350-6f33b1aa7468,2,7,false,2024-11-27 00:00:00,2025-06-05 22:12:32.42104
e358aca3-f764-474e-9c8b-e6e1d189b3ef,05bd26a2-e08f-40e6-a350-6f33b1aa7468,2,6,true,2024-09-18 00:00:00,2025-06-05 22:12:32.42104
27375e32-63bc-4e62-be70-d1a289276251,05bd26a2-e08f-40e6-a350-6f33b1aa7468,2,7,false,2024-09-12 00:00:00,2025-06-05 22:12:32.42104
f1f9ef4b-b00a-4177-83dd-158d1fc46e7d,05bd26a2-e08f-40e6-a350-6f33b1aa7468,2,7,false,2024-04-07 00:00:00,2025-06-05 22:12:32.42104
7f430d85-214e-4ecf-a6e6-f9ba4660f638,05bd26a2-e08f-40e6-a350-6f33b1aa7468,2,4,true,2024-08-18 00:00:00,2025-06-05 22:12:32.42104
637be38c-e077-4c98-9217-7d0513a4fd11,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,3,3,true,2025-04-25 00:00:00,2025-06-05 22:12:32.42104
4b017775-2c79-4202-85a1-d0347b7112dc,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,3,5,false,2025-02-12 00:00:00,2025-06-05 22:12:32.42104
5d9e5ebe-386a-4243-90b4-5ed201407c2d,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,3,4,true,2024-05-14 00:00:00,2025-06-05 22:12:32.42104
c40b3d4a-f77f-4f1c-bf23-43d33fdb86e3,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,3,3,true,2025-01-04 00:00:00,2025-06-05 22:12:32.42104
a259fbde-5dbf-40e9-a47e-8e22288461c5,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,3,7,false,2025-03-12 00:00:00,2025-06-05 22:12:32.42104
9ddd0215-4abc-41bf-801d-c4a462cb3a23,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,3,6,true,2024-01-12 00:00:00,2025-06-05 22:12:32.42104
27b3d7b4-893e-4540-812f-412541d213c5,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,4,5,true,2024-02-09 00:00:00,2025-06-05 22:12:32.42104
8f271500-be2d-4c72-89fd-1f3281b28442,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,4,4,true,2025-01-11 00:00:00,2025-06-05 22:12:32.42104
b2a72ceb-9114-433e-ab3b-b99f7f02dbb0,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,4,8,false,2024-04-18 00:00:00,2025-06-05 22:12:32.42104
fbd21df2-e04f-4e6d-8b2e-85a38b7b244d,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,4,7,false,2024-06-20 00:00:00,2025-06-05 22:12:32.42104
1ca2dfee-a7c1-4f77-bfad-3edd699aba6b,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,4,8,false,2024-11-27 00:00:00,2025-06-05 22:12:32.42104
abb6d541-1ba1-4781-b494-a2dfd4c2a82e,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,4,1,true,2024-06-11 00:00:00,2025-06-05 22:12:32.42104
6a12e600-3e78-4202-a06f-f396ba4cd721,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,5,8,false,2024-11-04 00:00:00,2025-06-05 22:12:32.42104
aa6f1eef-1448-4f0c-a375-72e7b1b54e77,8793806d-18a2-4f9f-a9f3-9d2e2a05b4d5,5,4,true,2025-01-28 00:00:00,2025-06-05 22:12:32.42104
