id,plug_id,room_id,device_id,start_time,end_time,created_at,updated_at
1,7c925463-4e15-47ee-898b-bd668d8e1741,1,6,2025-01-12 00:00:00,2025-01-12 12:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
2,7c925463-4e15-47ee-898b-bd668d8e1741,1,6,2025-01-11 00:00:00,2025-01-11 03:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
3,02b07d3e-ff83-4ade-81ff-bcded6f828f0,1,7,2025-08-09 00:00:00,2025-08-09 05:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
4,02b07d3e-ff83-4ade-81ff-bcded6f828f0,1,7,2025-02-15 00:00:00,2025-02-15 06:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
5,bc93a4e0-561c-4288-9bfc-f197719baa49,1,7,2025-08-20 00:00:00,2025-08-20 11:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
6,bc93a4e0-561c-4288-9bfc-f197719baa49,1,7,2025-01-13 00:00:00,2025-01-13 11:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
7,63f54259-658e-4375-b29e-e552052164e8,1,4,2025-03-18 00:00:00,2025-03-18 07:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
8,63f54259-658e-4375-b29e-e552052164e8,1,4,2025-01-21 00:00:00,2025-01-21 02:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
9,4311e479-0332-4cc2-856b-ccc73c3f4255,1,2,2025-09-16 00:00:00,2025-09-16 01:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
10,4311e479-0332-4cc2-856b-ccc73c3f4255,1,2,2025-04-14 00:00:00,2025-04-14 02:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
11,d1a1017a-9143-49c8-a367-7e8ecfcac2af,1,6,2025-03-21 00:00:00,2025-03-21 08:00:00,2025-06-05 22:12:32.42104,2025-06-05 22:12:32.42104
